"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_path","dropout_rate","experiment_description","experiment_name","hidden_dims","kl_weight","latent_dim","lr","n_epochs","n_factors","patience","save_path","seed","use_wandb","weight_decay","epoch","experiment","final_best_val_loss","final_epoch","final_val_loss","learning_rate","total_training_time_minutes","train_loss","val_loss","final_best_val_rmse","swa_active","train_kl","train_rmse","val_kl","val_rmse"
"experiment_5-1755055591","crashed","the quest for .77-.75 Val RMSE","","experiment_5, hybrid-vae","2025-08-13T03:26:33.000Z","6766","","8192","/content/drive/MyDrive/PROJECTS/MovieLens RecSys","0.35","the quest for .77-.75 Val RMSE","experiment_5","[512,256,128]","0.3","64","0.0004","150","150","15","/content/hybrid_vae_experiment_5_best.pt","42","true","0.0001","16","experiment_5","","","","0.0002","","0.4782159973231502","0.6558535003800364","","false","NaN","0.6823198574190751","NaN","0.8021439962860186"
"experiment_5-1755054750","finished","the quest for .77-.75 Val RMSE","","experiment_5, hybrid-vae","2025-08-13T03:12:32.000Z","841","","2048","/content/drive/MyDrive/PROJECTS/MovieLens RecSys","0.35","the quest for .77-.75 Val RMSE","experiment_5","[512,256,128]","0.3","64","0.0002","150","150","15","/content/hybrid_vae_experiment_5_best.pt","42","true","0.0001","","","","","","","","","","","","","","",""
"experiment_5-1755054677","finished","the quest for .77-.75 Val RMSE","","experiment_5, hybrid-vae","2025-08-13T03:11:19.000Z","72","","2048","/content/drive/MyDrive/PROJECTS/MovieLens RecSys","0.35","the quest for .77-.75 Val RMSE","experiment_5","[512,256,128]","0.3","64","0.0002","150","150","15","/content/hybrid_vae_experiment_5_best.pt","42","true","0.0001","","","","","","","","","","","","","","",""
"experiment_4-1755042223","finished","Higher dropout, weight decay, and KL weight to prevent overfitting","","experiment_4, hybrid-vae","2025-08-12T23:43:43.000Z","12455","","1024","/content/drive/MyDrive/PROJECTS/MovieLens RecSys","0.3","Higher dropout, weight decay, and KL weight to prevent overfitting","experiment_4","[512,256,128]","0.25","64","0.0002","150","150","15","/content/hybrid_vae_experiment_4_best.pt","42","true","0.00005","43","experiment_4","","","","0.0001","","0.4782159973231502","0.6558535003800364","","","0.0506224382638374","0.6823198574190751","0.049674039506579705","0.8021439962860186"
"fixed_baseline-1755034631","finished","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","","fixed_baseline, hybrid-vae","2025-08-12T21:37:13.000Z","5929","","1024","/content/drive/MyDrive/PROJECTS/MovieLens RecSys","0.15","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","fixed_baseline","[512,256,128]","0.1","64","0.0005","150","150","20","/content/hybrid_vae_fixed_baseline_best.pt","42","true","0.00001","27","fixed_baseline","0.634928846473671","26","0.6655667869002074","0.000125","98.60409968296686","0.38678022935702666","0.6655667869002074","0.7968242255815714","","0.05506627328671888","0.6174735637894081","0.05435277769813965","0.8124847749462965"
"fixed_baseline-1755034502","finished","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","","fixed_baseline, hybrid-vae","2025-08-12T21:35:03.000Z","129","","1024","/content/drive/MyDrive/PROJECTS/MovieLens RecSys","0.15","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","fixed_baseline","[512,256,128]","0.1","64","0.0005","150","150","20","/content/hybrid_vae_fixed_baseline_best.pt","42","true","0.00001","","","","","","","","","","","","","","",""
"fixed_baseline-1755028799","crashed","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","","fixed_baseline, hybrid-vae","2025-08-12T20:00:02.000Z","5491","","1024","/content/drive/MyDrive/PROJECTS/MovieLens RecSys","0.15","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","fixed_baseline","[512,256,128]","0.1","64","0.0005","150","150","20","/content/hybrid_vae_fixed_baseline_best.pt","42","true","0.00001","11","fixed_baseline","","","","0.0005","","0.4985957494241453","0.6382325161781055","","","0.05353878020776832","0.7023118049765118","0.05297146704501568","0.7955723533352362"
"fixed_baseline-1755027373","finished","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","","fixed_baseline, hybrid-vae","2025-08-12T19:36:14.000Z","1427","","1024","/content/drive/MyDrive/PROJECTS/MovieLens RecSys","0.15","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","fixed_baseline","[512,256,128]","0.1","64","0.0005","150","150","20","/content/hybrid_vae_fixed_baseline_best.pt","42","true","0.00001","","","","","","","","","","","","","","",""
"fixed_baseline-1755014733","crashed","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","","fixed_baseline, hybrid-vae","2025-08-12T16:05:34.000Z","10215","","1024","/content/drive/MyDrive/PROJECTS/MovieLens RecSys","0.15","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","fixed_baseline","[512,256,128]","0.1","64","0.0005","150","150","20","/content/hybrid_vae_fixed_baseline_best.pt","42","true","0.00001","20","fixed_baseline","","","","0.00025","","0.41301882997267686","0.660483698288552","","","0.05454966419712018","0.6384072866190673","0.05431755686242493","0.8093527923620697"
"fixed_baseline-1755014067","crashed","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","","fixed_baseline, hybrid-vae","2025-08-12T15:54:27.000Z","1381","","1024","/content/drive/MyDrive/PROJECTS/MovieLens RecSys","0.15","Critical fixes applied: mean reduction, lower KL weight, reduced dropout","fixed_baseline","[512,256,128]","0.1","64","0.0005","150","150","20","/content/hybrid_vae_fixed_baseline_best.pt","42","true","0.00001","","","","","","","","","","","","","","",""
